date,order_date,ship_date,delivery_date,origin_city,destination_city,distance_km,transport_mode,carrier,product_id,supplier,demand_forecast,actual_sales,units_ordered,units_shipped,price_per_unit_INR,cost_per_unit_INR,transport_cost_INR,toll_charges_INR,gst_percent,gst_amount_INR,total_cost_INR,planned_lead_days,actual_lead_days,on_time_delivery,delay_days,damage_rate,return_rate,fuel_price_per_litre_INR,carbon_kg
2025-01-24,2025-01-24,2025-01-25,2025-01-24,Bengaluru,Hyderabad,570,Road,Carrier-IN-06,SKU-IN-011,Supplier-IN-12,36,31,28,27,861.44,477.08,1898.7,252.06,5.0,94.94,15126.86,1,0,1,-1,0.011,0.003,100.62,18.47
2024-08-02,2024-08-02,2024-08-02,2024-08-02,Lucknow,Kanpur,90,Road,Carrier-IN-02,SKU-IN-039,Supplier-IN-06,37,29,31,29,333.7,258.92,314.58,83.57,5.0,15.73,7922.56,2,0,1,-2,0.01,0.036,95.88,3.13
2024-09-07,2024-09-06,2024-09-07,2024-09-07,Mumbai,Surat,280,Road,Carrier-IN-05,SKU-IN-060,Supplier-IN-18,26,29,26,24,1093.48,753.93,806.76,213.49,5.0,40.34,19154.91,1,1,1,0,0.01,0.028,95.09,8.06
2024-11-28,2024-11-25,2024-11-26,2024-11-28,Mumbai,Pune,150,Road,Carrier-IN-01,SKU-IN-052,Supplier-IN-11,23,17,18,17,473.46,319.48,309.3,84.41,5.0,15.46,5840.33,1,3,0,2,0.013,0.026,97.16,3.06
2024-10-01,2024-10-01,2024-10-02,2024-10-01,Mumbai,Delhi,1400,Road,Carrier-IN-10,SKU-IN-057,Supplier-IN-11,26,35,33,32,444.81,247.13,5378.96,264.47,5.0,268.95,13820.54,2,0,1,-2,0.009,0.035,95.11,53.76
2025-05-26,2025-05-26,2025-05-27,2025-05-26,Kolkata,Patna,540,Rail,Carrier-IN-08,SKU-IN-010,Supplier-IN-09,46,47,44,42,1132.96,804.5,1647.69,254.61,5.0,82.38,35773.68,1,0,1,-1,0.004,0.042,102.57,11.34
2024-09-09,2024-09-09,2024-09-10,2024-09-09,Jaipur,Ajmer,135,Road,Carrier-IN-05,SKU-IN-048,Supplier-IN-19,24,29,28,26,419.02,289.4,421.35,94.85,5.0,21.07,8061.67,1,0,1,-1,0.013,0.035,95.07,4.21
2025-08-20,2025-08-20,2025-08-21,2025-08-20,Kolkata,Patna,540,Road,Carrier-IN-03,SKU-IN-033,Supplier-IN-16,36,30,27,25,719.78,443.32,1656.61,252.41,5.0,82.83,13074.85,1,0,1,-1,0.001,0.032,99.52,16.2
2024-02-18,2024-02-16,2024-02-17,2024-02-18,Mumbai,Delhi,1400,Road,Carrier-IN-03,SKU-IN-051,Supplier-IN-14,64,60,56,53,884.49,514.62,9026.43,190.28,5.0,451.32,36942.89,4,2,1,-2,0.006,0.045,97.75,89.04
2024-03-06,2024-03-02,2024-03-04,2024-03-06,Kolkata,Patna,540,Road,Carrier-IN-08,SKU-IN-034,Supplier-IN-09,39,38,40,37,1152.61,829.55,2438.84,280.97,5.0,121.94,33535.1,2,4,0,2,0.009,0.022,98.44,23.98
2024-01-12,2024-01-09,2024-01-12,2024-01-12,Lucknow,Kanpur,90,Rail,Carrier-IN-09,SKU-IN-049,Supplier-IN-09,31,31,30,28,832.26,466.94,177.01,102.68,5.0,8.85,13362.86,3,3,1,0,0.005,0.033,95.69,1.26
2024-12-14,2024-12-10,2024-12-12,2024-12-14,Mumbai,Delhi,1400,Road,Carrier-IN-03,SKU-IN-030,Supplier-IN-01,24,23,24,22,825.45,541.0,3753.1,252.13,5.0,187.66,16094.89,4,4,1,0,0.011,0.039,98.09,36.96
2024-09-26,2024-09-25,2024-09-27,2024-09-26,Ahmedabad,Surat,260,Rail,Carrier-IN-09,SKU-IN-059,Supplier-IN-04,20,18,18,17,838.51,535.51,309.51,288.46,5.0,15.48,9717.12,3,1,1,-2,0.007,0.024,95.07,2.21
2024-11-01,2024-11-01,2024-11-02,2024-11-01,Lucknow,Kanpur,90,Road,Carrier-IN-04,SKU-IN-010,Supplier-IN-12,32,32,31,28,938.15,690.08,303.75,83.52,5.0,15.19,19724.7,1,0,1,-1,0.011,0.013,95.89,3.02
2025-07-06,2025-07-06,2025-07-06,2025-07-06,Ahmedabad,Surat,260,Rail,Carrier-IN-10,SKU-IN-021,Supplier-IN-16,45,46,44,41,711.04,472.28,768.74,224.72,5.0,38.44,20395.38,1,0,1,-1,0.01,0.027,101.04,5.33
2024-04-24,2024-04-24,2024-04-24,2024-04-24,Chennai,Bengaluru,350,Rail,Carrier-IN-05,SKU-IN-016,Supplier-IN-02,53,48,47,45,939.99,688.13,1124.94,249.74,5.0,56.25,32396.78,1,0,1,-1,0.016,0.032,99.07,7.88
2025-08-03,2025-07-30,2025-08-03,2025-08-03,Mumbai,Delhi,1400,Road,Carrier-IN-08,SKU-IN-053,Supplier-IN-03,39,36,33,31,394.89,269.99,5338.2,244.38,5.0,266.91,14219.18,4,4,1,0,0.006,0.042,100.0,52.08
2024-05-08,2024-05-06,2024-05-06,2024-05-08,Mumbai,Surat,280,Road,Carrier-IN-09,SKU-IN-011,Supplier-IN-09,32,29,26,24,161.92,106.51,822.0,225.18,5.0,41.1,3644.52,2,2,1,0,0.005,0.036,98.87,8.06
2025-09-13,2025-09-13,2025-09-13,2025-09-13,Kolkata,Patna,540,Air,Carrier-IN-09,SKU-IN-049,Supplier-IN-07,17,20,22,21,733.81,458.06,4631.03,258.56,5.0,231.55,14740.4,1,0,1,-1,0.009,0.033,99.19,68.04
2025-02-12,2025-02-12,2025-02-13,2025-02-12,Lucknow,Kanpur,90,Road,Carrier-IN-08,SKU-IN-058,Supplier-IN-17,46,50,56,51,445.01,342.03,569.14,109.29,5.0,28.46,18150.42,1,0,1,-1,0.005,0.023,101.66,5.51
2024-05-03,2024-04-30,2024-04-30,2024-05-03,Pune,Nashik,160,Road,Carrier-IN-06,SKU-IN-002,Supplier-IN-19,43,35,33,31,183.93,113.0,606.98,35.22,5.0,30.35,4175.55,2,3,0,1,0.009,0.034,98.96,5.95
2024-08-23,2024-08-23,2024-08-23,2024-08-23,Kochi,Bengaluru,550,Road,Carrier-IN-02,SKU-IN-046,Supplier-IN-02,29,31,29,27,966.48,638.35,1784.76,293.09,5.0,89.24,19402.54,1,0,1,-1,0.01,0.031,95.31,17.82
2024-03-10,2024-03-10,2024-03-12,2024-03-10,Mumbai,Pune,150,Rail,Carrier-IN-02,SKU-IN-033,Supplier-IN-08,41,39,42,41,1042.13,632.46,438.18,75.73,5.0,21.91,26466.68,2,0,1,-2,0.006,0.021,98.57,3.07
2025-05-12,2025-05-12,2025-05-12,2025-05-12,Pune,Nashik,160,Road,Carrier-IN-10,SKU-IN-037,Supplier-IN-16,40,36,39,36,1007.21,778.2,718.64,156.18,5.0,35.93,28925.95,1,0,1,-1,0.012,0.042,102.94,6.91
2025-04-29,2025-04-29,2025-04-29,2025-04-29,Kolkata,Patna,540,Road,Carrier-IN-02,SKU-IN-043,Supplier-IN-14,42,45,45,44,515.67,344.58,2967.53,290.03,5.0,148.38,18567.46,1,0,1,-1,0.017,0.03,103.16,28.51
2025-03-09,2025-03-09,2025-03-10,2025-03-09,Kolkata,Patna,540,Road,Carrier-IN-01,SKU-IN-044,Supplier-IN-04,50,45,44,41,758.63,476.84,2758.82,310.96,5.0,137.94,22758.16,1,0,1,-1,0.005,0.033,102.68,26.57
2025-02-16,2025-02-16,2025-02-17,2025-02-16,Jaipur,Ajmer,135,Road,Carrier-IN-02,SKU-IN-016,Supplier-IN-07,34,34,32,29,327.38,201.04,485.89,48.94,5.0,24.29,6389.28,1,0,1,-1,0.004,0.016,101.85,4.7
2025-07-03,2025-07-02,2025-07-02,2025-07-03,Delhi,Agra,230,Road,Carrier-IN-03,SKU-IN-018,Supplier-IN-15,21,20,19,17,1061.72,604.58,483.65,251.07,5.0,24.18,11036.76,1,1,1,0,0.008,0.005,101.16,4.69
2024-03-18,2024-03-14,2024-03-16,2024-03-18,Delhi,Agra,230,Rail,Carrier-IN-09,SKU-IN-007,Supplier-IN-02,48,41,46,44,708.72,407.27,721.79,176.3,5.0,36.09,18854.06,3,4,0,1,0.01,0.023,98.78,5.06
2025-07-07,2025-07-07,2025-07-08,2025-07-07,Mumbai,Pune,150,Air,Carrier-IN-04,SKU-IN-011,Supplier-IN-14,28,23,22,20,647.67,409.12,1236.0,145.19,5.0,61.8,9625.39,1,0,1,-1,0.018,0.038,101.0,18.0
2025-05-07,2025-05-07,2025-05-08,2025-05-07,Pune,Nashik,160,Rail,Carrier-IN-01,SKU-IN-011,Supplier-IN-13,44,36,38,36,523.9,407.02,419.41,96.89,5.0,20.97,15189.99,1,0,1,-1,0.007,0.015,103.04,2.88
2025-02-03,2025-01-31,2025-02-02,2025-02-03,Bengaluru,Hyderabad,570,Rail,Carrier-IN-08,SKU-IN-019,Supplier-IN-14,42,40,36,35,665.29,476.52,1439.72,274.95,5.0,71.99,18464.86,3,3,1,0,0.002,0.033,101.19,9.97
2025-07-23,2025-07-23,2025-07-24,2025-07-23,Lucknow,Kanpur,90,Rail,Carrier-IN-03,SKU-IN-013,Supplier-IN-10,37,24,23,21,791.15,487.65,135.86,88.03,5.0,6.79,10471.33,1,0,1,-1,0.013,0.011,100.38,0.94
2024-02-29,2024-02-29,2024-03-01,2024-02-29,Kochi,Bengaluru,550,Rail,Carrier-IN-01,SKU-IN-048,Supplier-IN-11,35,34,36,33,295.77,162.86,1290.96,219.29,5.0,64.55,6949.18,1,0,1,-1,0.002,0.018,98.22,9.08
2024-02-21,2024-02-18,2024-02-20,2024-02-21,Kochi,Bengaluru,550,Road,Carrier-IN-09,SKU-IN-011,Supplier-IN-02,69,63,71,66,219.82,158.37,4418.94,257.63,5.0,220.95,15349.94,2,3,0,1,0.007,0.034,97.89,43.56
2024-03-23,2024-03-23,2024-03-23,2024-03-23,Mumbai,Surat,280,Road,Carrier-IN-02,SKU-IN-044,Supplier-IN-08,35,41,40,39,562.07,414.71,1335.89,219.76,5.0,66.79,17796.13,1,0,1,-1,0.012,0.05,98.89,13.1
2024-05-02,2024-04-30,2024-05-01,2024-05-02,Kochi,Bengaluru,550,Road,Carrier-IN-10,SKU-IN-003,Supplier-IN-20,43,31,28,26,719.99,467.45,1750.15,223.57,5.0,87.51,14214.93,1,2,0,1,0.01,0.024,98.98,17.16
2025-03-05,2025-03-03,2025-03-03,2025-03-05,Lucknow,Kanpur,90,Road,Carrier-IN-09,SKU-IN-021,Supplier-IN-09,43,42,41,38,931.14,519.31,425.89,92.06,5.0,21.29,20273.02,1,2,0,1,0.007,0.031,102.55,4.1
2024-11-17,2024-11-16,2024-11-17,2024-11-17,Pune,Nashik,160,Road,Carrier-IN-03,SKU-IN-043,Supplier-IN-10,30,38,39,37,579.4,421.53,716.05,75.95,5.0,35.8,16424.41,1,1,1,0,0.002,0.031,96.59,7.1
2024-11-19,2024-11-15,2024-11-17,2024-11-19,Mumbai,Delhi,1400,Road,Carrier-IN-10,SKU-IN-037,Supplier-IN-04,21,25,25,24,311.02,213.0,4065.87,253.88,5.0,203.29,9635.04,2,4,0,2,0.012,0.044,96.68,40.32
2025-07-04,2025-07-04,2025-07-05,2025-07-04,Pune,Nashik,160,Road,Carrier-IN-03,SKU-IN-060,Supplier-IN-12,37,40,36,33,259.46,192.86,652.99,65.14,5.0,32.65,7115.16,1,0,1,-1,0.009,0.039,101.12,6.34
2024-09-07,2024-09-06,2024-09-07,2024-09-07,Chennai,Bengaluru,350,Road,Carrier-IN-08,SKU-IN-054,Supplier-IN-18,31,27,24,22,568.08,382.66,924.42,268.84,5.0,46.22,9658.0,2,1,1,-1,0.012,0.028,95.09,9.24
2024-11-05,2024-11-05,2024-11-06,2024-11-05,Kochi,Bengaluru,550,Air,Carrier-IN-09,SKU-IN-001,Supplier-IN-18,30,22,20,18,477.05,348.01,3980.79,228.38,5.0,199.04,10672.39,1,0,1,-1,0.005,0.033,96.05,59.4
2024-04-16,2024-04-16,2024-04-16,2024-04-16,Mumbai,Surat,280,Road,Carrier-IN-02,SKU-IN-048,Supplier-IN-18,69,65,59,57,370.4,280.23,1954.56,233.59,5.0,97.73,18258.99,1,0,1,-1,0.013,0.024,99.11,19.15
2024-10-05,2024-10-04,2024-10-06,2024-10-05,Bengaluru,Hyderabad,570,Road,Carrier-IN-06,SKU-IN-014,Supplier-IN-09,34,40,40,38,953.62,547.08,2601.41,243.35,5.0,130.07,23763.87,2,1,1,-1,0.003,0.02,95.17,25.99
2025-05-15,2025-05-13,2025-05-15,2025-05-15,Bengaluru,Hyderabad,570,Rail,Carrier-IN-01,SKU-IN-006,Supplier-IN-14,45,39,41,37,383.07,231.05,1534.39,246.09,5.0,76.72,10406.05,2,2,1,0,0.01,0.038,102.87,10.54
2024-02-15,2024-02-15,2024-02-16,2024-02-15,Mumbai,Pune,150,Road,Carrier-IN-03,SKU-IN-041,Supplier-IN-09,61,59,67,66,298.14,191.84,1203.5,72.29,5.0,60.17,13997.4,1,0,1,-1,0.002,0.046,97.61,11.88
2025-03-28,2025-03-27,2025-03-28,2025-03-28,Ahmedabad,Surat,260,Rail,Carrier-IN-09,SKU-IN-001,Supplier-IN-04,35,35,36,34,729.65,474.5,643.95,247.1,5.0,32.2,17056.25,1,1,1,0,0.008,0.031,103.13,4.42
2024-06-01,2024-06-01,2024-06-01,2024-06-01,Ahmedabad,Surat,260,Road,Carrier-IN-06,SKU-IN-038,Supplier-IN-18,43,41,44,41,378.92,264.62,1299.86,243.33,5.0,64.99,12457.6,1,0,1,-1,0.007,0.02,98.23,12.79
2025-03-16,2025-03-14,2025-03-14,2025-03-16,Mumbai,Surat,280,Road,Carrier-IN-06,SKU-IN-058,Supplier-IN-02,39,39,43,40,161.55,93.94,1396.95,297.11,5.0,69.85,5521.51,1,2,0,1,0.02,0.026,102.88,13.44
2024-08-03,2024-08-02,2024-08-02,2024-08-03,Lucknow,Kanpur,90,Road,Carrier-IN-02,SKU-IN-023,Supplier-IN-18,30,24,27,25,244.85,178.09,271.15,76.26,5.0,13.56,4813.22,1,1,1,0,0.011,0.01,95.85,2.7
2025-09-27,2025-09-24,2025-09-25,2025-09-27,Jaipur,Ajmer,135,Road,Carrier-IN-04,SKU-IN-056,Supplier-IN-06,23,24,21,19,774.83,435.32,314.29,77.12,5.0,15.71,8678.2,1,3,0,2,0.007,0.051,99.22,3.08
2025-02-26,2025-02-25,2025-02-27,2025-02-26,Mumbai,Pune,150,Road,Carrier-IN-06,SKU-IN-051,Supplier-IN-14,40,44,44,40,231.65,127.53,746.24,60.23,5.0,37.31,5944.98,2,1,1,-1,0.009,0.034,102.29,7.2
2024-09-11,2024-09-11,2024-09-12,2024-09-11,Bengaluru,Hyderabad,570,Road,Carrier-IN-02,SKU-IN-025,Supplier-IN-02,24,25,26,25,1041.66,632.73,1710.51,248.26,5.0,85.53,17862.55,1,0,1,-1,0.01,0.024,95.06,17.1
2024-08-15,2024-08-15,2024-08-15,2024-08-15,Pune,Nashik,160,Rail,Carrier-IN-08,SKU-IN-023,Supplier-IN-10,25,26,24,22,985.11,710.62,247.02,60.09,5.0,12.35,15953.1,1,0,1,-1,0.003,0.033,95.5,1.76
2024-08-16,2024-08-14,2024-08-15,2024-08-16,Mumbai,Pune,150,Road,Carrier-IN-07,SKU-IN-022,Supplier-IN-09,25,20,18,17,716.47,524.36,306.72,35.43,5.0,15.34,9271.61,1,2,0,1,0.013,0.026,95.47,3.06
2024-10-12,2024-10-12,2024-10-13,2024-10-12,Chennai,Bengaluru,350,Road,Carrier-IN-07,SKU-IN-044,Supplier-IN-18,33,30,27,24,205.32,117.11,1009.46,233.34,5.0,50.47,4103.91,1,0,1,-1,0.007,0.043,95.29,10.08
2024-01-29,2024-01-28,2024-01-31,2024-01-29,Mumbai,Delhi,1400,Rail,Carrier-IN-05,SKU-IN-012,Supplier-IN-19,37,31,30,28,395.29,221.24,2767.46,213.78,5.0,138.37,9314.33,3,1,1,-2,0.006,0.036,96.71,19.6
2024-02-09,2024-02-07,2024-02-07,2024-02-09,Mumbai,Delhi,1400,Road,Carrier-IN-06,SKU-IN-047,Supplier-IN-11,49,43,47,44,1022.17,590.49,7477.38,234.97,5.0,373.87,34067.78,3,2,1,-1,0.011,0.022,97.31,73.92
2025-09-12,2025-09-11,2025-09-11,2025-09-12,Ahmedabad,Surat,260,Road,Carrier-IN-10,SKU-IN-013,Supplier-IN-09,34,30,32,29,1006.62,605.6,923.8,204.53,5.0,46.19,18736.92,1,1,1,0,0.0,0.019,99.2,9.05
2025-03-22,2025-03-22,2025-03-23,2025-03-22,Mumbai,Pune,150,Road,Carrier-IN-09,SKU-IN-044,Supplier-IN-07,40,37,40,37,415.28,228.89,692.71,83.06,5.0,34.64,9279.34,1,0,1,-1,0.007,0.03,103.02,6.66
2025-03-17,2025-03-13,2025-03-16,2025-03-17,Mumbai,Delhi,1400,Rail,Carrier-IN-06,SKU-IN-040,Supplier-IN-11,55,53,52,50,744.02,454.91,5093.8,259.17,5.0,254.69,28353.16,4,4,1,0,0.012,0.033,102.91,35.0
2024-05-07,2024-05-06,2024-05-07,2024-05-07,Jaipur,Ajmer,135,Rail,Carrier-IN-09,SKU-IN-020,Supplier-IN-14,44,43,48,47,180.71,133.71,452.79,54.99,5.0,22.64,6814.79,2,1,1,-1,0.015,0.031,98.89,3.17
2025-02-16,2025-02-15,2025-02-17,2025-02-16,Jaipur,Ajmer,135,Road,Carrier-IN-03,SKU-IN-013,Supplier-IN-14,37,27,25,23,159.53,117.78,385.36,59.89,5.0,19.27,3173.46,2,1,1,-1,0.011,0.028,101.85,3.73
2025-01-23,2025-01-20,2025-01-22,2025-01-23,Lucknow,Kanpur,90,Rail,Carrier-IN-03,SKU-IN-040,Supplier-IN-19,33,32,31,30,220.72,150.95,194.25,34.3,5.0,9.71,4766.76,2,3,0,1,0.007,0.047,100.56,1.35
2025-02-19,2025-02-17,2025-02-17,2025-02-19,Ahmedabad,Surat,260,Rail,Carrier-IN-05,SKU-IN-019,Supplier-IN-07,48,43,41,37,316.89,208.44,696.94,284.98,5.0,34.85,8729.05,2,2,1,0,0.005,0.035,101.99,4.81
2025-08-16,2025-08-14,2025-08-16,2025-08-16,Kochi,Bengaluru,550,Road,Carrier-IN-08,SKU-IN-029,Supplier-IN-15,19,13,14,13,820.45,526.27,877.82,243.8,5.0,43.89,8007.02,2,2,1,0,0.006,0.034,99.62,8.58
2024-08-06,2024-08-04,2024-08-04,2024-08-06,Ahmedabad,Surat,260,Road,Carrier-IN-03,SKU-IN-043,Supplier-IN-03,44,35,32,29,245.72,143.83,908.24,175.56,5.0,45.41,5300.28,1,2,0,1,0.005,0.031,95.76,9.05
2025-06-11,2025-06-09,2025-06-11,2025-06-11,Lucknow,Kanpur,90,Road,Carrier-IN-06,SKU-IN-006,Supplier-IN-08,38,43,40,38,217.42,148.68,424.81,60.42,5.0,21.24,6156.31,2,2,1,0,0.017,0.024,102.02,4.1
2024-11-13,2024-11-13,2024-11-13,2024-11-13,Pune,Nashik,160,Rail,Carrier-IN-03,SKU-IN-002,Supplier-IN-02,34,35,32,29,749.45,415.36,327.06,77.31,5.0,16.35,12466.16,1,0,1,-1,0.008,0.028,96.39,2.32
2025-05-01,2025-04-28,2025-04-29,2025-05-01,Kochi,Bengaluru,550,Rail,Carrier-IN-02,SKU-IN-030,Supplier-IN-14,38,35,32,30,289.35,196.91,1202.01,268.7,5.0,60.1,7438.11,3,3,1,0,0.009,0.025,103.14,8.25
2025-08-12,2025-08-10,2025-08-10,2025-08-12,Pune,Nashik,160,Rail,Carrier-IN-07,SKU-IN-032,Supplier-IN-13,45,48,50,47,1131.96,869.22,538.85,96.78,5.0,26.94,41515.91,1,2,0,1,0.009,0.038,99.73,3.76
2024-05-31,2024-05-31,2024-05-31,2024-05-31,Lucknow,Kanpur,90,Road,Carrier-IN-02,SKU-IN-050,Supplier-IN-14,51,49,45,41,409.46,240.23,450.02,92.72,5.0,22.5,10414.67,1,0,1,-1,0.016,0.026,98.26,4.43
2024-06-29,2024-06-29,2024-06-29,2024-06-29,Jaipur,Ajmer,135,Road,Carrier-IN-01,SKU-IN-036,Supplier-IN-08,39,41,42,40,235.6,151.43,655.03,37.64,5.0,32.75,6782.62,1,0,1,-1,0.008,0.011,97.17,6.48
2025-04-12,2025-04-12,2025-04-12,2025-04-12,Mumbai,Surat,280,Rail,Carrier-IN-09,SKU-IN-036,Supplier-IN-20,47,41,40,39,192.11,143.97,795.93,310.05,5.0,39.8,6760.61,2,0,1,-2,0.015,0.013,103.25,5.46
2025-03-29,2025-03-26,2025-03-27,2025-03-29,Kochi,Bengaluru,550,Rail,Carrier-IN-09,SKU-IN-028,Supplier-IN-18,42,33,33,32,397.58,289.63,1282.14,203.79,5.0,64.11,10818.2,2,3,0,1,0.01,0.025,103.14,8.8
2024-06-11,2024-06-10,2024-06-13,2024-06-11,Jaipur,Ajmer,135,Rail,Carrier-IN-08,SKU-IN-017,Supplier-IN-08,40,26,25,24,321.7,205.87,230.07,114.82,5.0,11.5,5297.27,3,1,1,-2,0.003,0.043,97.88,1.62
2024-10-10,2024-10-09,2024-10-09,2024-10-10,Ahmedabad,Surat,260,Road,Carrier-IN-04,SKU-IN-018,Supplier-IN-15,16,12,12,11,303.04,198.0,343.63,253.45,5.0,17.18,2792.26,1,1,1,0,0.008,0.025,95.25,3.43
2024-10-19,2024-10-18,2024-10-19,2024-10-19,Pune,Nashik,160,Road,Carrier-IN-06,SKU-IN-058,Supplier-IN-18,30,33,36,33,267.52,163.73,635.06,59.37,5.0,31.75,6129.27,1,1,1,0,0.01,0.023,95.46,6.34
2024-05-21,2024-05-20,2024-05-21,2024-05-21,Mumbai,Surat,280,Road,Carrier-IN-03,SKU-IN-046,Supplier-IN-07,35,29,31,29,653.89,462.81,991.79,262.0,5.0,49.59,14724.87,1,1,1,0,0.001,0.057,98.57,9.74
2025-02-28,2025-02-28,2025-02-28,2025-02-28,Kolkata,Patna,540,Road,Carrier-IN-08,SKU-IN-027,Supplier-IN-02,49,42,39,37,1168.41,667.86,2485.95,307.42,5.0,124.3,27628.49,1,0,1,-1,0.009,0.028,102.37,23.98
2025-03-06,2025-03-03,2025-03-03,2025-03-06,Kolkata,Patna,540,Rail,Carrier-IN-10,SKU-IN-045,Supplier-IN-01,35,34,37,36,780.64,598.28,1412.37,279.71,5.0,70.62,23300.78,3,3,1,0,0.01,0.02,102.58,9.72
2025-01-24,2025-01-22,2025-01-23,2025-01-24,Delhi,Agra,230,Road,Carrier-IN-06,SKU-IN-020,Supplier-IN-13,34,28,29,28,950.4,697.12,794.52,242.16,5.0,39.73,20595.77,1,2,0,1,0.013,0.015,100.62,7.73
2025-07-05,2025-07-03,2025-07-04,2025-07-05,Jaipur,Ajmer,135,Rail,Carrier-IN-10,SKU-IN-058,Supplier-IN-08,25,28,29,28,722.97,471.53,272.64,73.03,5.0,13.63,13562.14,2,2,1,0,0.014,0.035,101.08,1.89
2024-08-12,2024-08-10,2024-08-12,2024-08-12,Bengaluru,Hyderabad,570,Road,Carrier-IN-01,SKU-IN-025,Supplier-IN-11,36,29,27,25,564.08,381.52,1714.96,279.38,5.0,85.75,11618.09,2,2,1,0,0.008,0.032,95.58,17.1
2025-02-18,2025-02-16,2025-02-17,2025-02-18,Jaipur,Ajmer,135,Road,Carrier-IN-08,SKU-IN-059,Supplier-IN-05,52,48,49,46,449.12,278.76,771.06,121.76,5.0,38.55,13754.33,2,2,1,0,0.015,0.036,101.94,7.45
2025-06-30,2025-06-30,2025-07-01,2025-06-30,Mumbai,Pune,150,Rail,Carrier-IN-10,SKU-IN-037,Supplier-IN-01,32,26,24,23,894.5,513.96,249.08,93.21,5.0,12.45,12175.82,1,0,1,-1,0.006,0.026,101.28,1.73
2025-10-20,2025-10-19,2025-10-20,2025-10-20,Kolkata,Patna,540,Road,Carrier-IN-08,SKU-IN-012,Supplier-IN-02,32,39,40,39,828.94,489.24,2585.83,242.39,5.0,129.29,22037.87,1,1,1,0,0.004,0.021,99.64,25.27
2025-01-23,2025-01-22,2025-01-23,2025-01-23,Chennai,Bengaluru,350,Road,Carrier-IN-06,SKU-IN-022,Supplier-IN-13,49,43,39,37,624.36,427.64,1597.2,227.95,5.0,79.86,17727.69,1,1,1,0,0.019,0.009,100.56,15.54
2025-03-07,2025-03-06,2025-03-07,2025-03-07,Bengaluru,Hyderabad,570,Rail,Carrier-IN-08,SKU-IN-002,Supplier-IN-18,37,30,28,27,211.38,123.15,1118.35,203.51,5.0,55.92,4702.83,1,1,1,0,0.003,0.009,102.62,7.7
